county,x,y
Satu-Mares,-185,194
Maramures,-79,189
Bistrita-Nasaud,-31,136
Salaj,-158,132
Bihor,-236,127
Arad,-260,34
Timis,-276,-19
Suceava,65,162
Botosani,139,187
Iasi,164,139
Neamt,117,102
Vaslui,229,68
Bacau,141,39
Harghita,44,65
Mures,-27,57
Cluj,-125,75
Alba,-115,16
Hunedoara,-162,-36
Caras-Severin,-226,-84
Gorj,-129,-128
Valcea,-67,-97
Arges,-12,-138
Sibiu,-71,-36
Brasov,16,-38
Covasna,70,-14
Vrancea,141,-31
Galati,218,-28
Tulcea,319,-99
Braila,216,-125
Buzau,147,-104
Prahova,95,-115
Dambovita,31,-127
Mehedinti,-167,-161
Dolj,-137,-203
Olt,-66,-201
Teleorman,13,-223
Giurgiu,62,-223
Calarasi,167,-203
Constanta,263,-202
Ialomita,144,-162
Ilfov,85,-161
Bucharest,84,-179
